feature_idx,feature_theme,layer,n_seq,n_tokens,subsample_seed,n_train_pos,n_test,n_test_pos,auc_roc,auc_pr,p_at_k,C,n_iter,converged,fit_seconds,degenerate
1031,harm,5,64,16320,13,119,20400,97,0.9511579975738692,0.2403147098989865,0.31958762886597936,0.001,21,1,2.064,0
9989,refusal,5,64,16320,14,101,20400,190,0.8140027084038647,0.10157792090635274,0.1736842105263158,0.001,22,1,1.639,0
817,deception,5,64,16320,14,131,20400,267,0.8014352495976662,0.08381931166089754,0.12734082397003746,0.001,22,1,1.757,0
12730,ethics,5,64,16320,14,114,20400,75,0.8493271012710126,0.05239479950252735,0.09333333333333334,0.001,20,1,1.599,0
892,sycophancy-adj,5,64,16320,14,84,20400,68,0.9626161599796322,0.29034937903687663,0.3235294117647059,0.001,21,1,2.658,0
1031,harm,5,64,16320,14,115,20400,97,0.9545204583548924,0.33673150656839973,0.3711340206185567,0.001,21,1,3.911,0
9989,refusal,5,128,32640,10,307,20400,190,0.858397354097763,0.13384273812047806,0.20526315789473684,0.001,25,1,6.971,0
817,deception,5,128,32640,10,238,20400,267,0.8660335733663272,0.12054705347958346,0.19101123595505617,0.001,30,1,5.648,0
12730,ethics,5,128,32640,10,208,20400,75,0.8557763017630177,0.048632924189916646,0.09333333333333334,0.001,27,1,5.86,0
892,sycophancy-adj,5,128,32640,10,123,20400,68,0.9427496209973267,0.21503659426728383,0.3088235294117647,0.001,23,1,4.885,0
1031,harm,5,128,32640,10,203,20400,97,0.970354794959457,0.4310586252314367,0.4536082474226804,0.001,22,1,4.581,0
9989,refusal,5,128,32640,11,370,20400,190,0.8720768770020052,0.10868922797851563,0.18421052631578946,0.001,26,1,5.483,0
817,deception,5,128,32640,11,298,20400,267,0.8622638852380731,0.1705066901058209,0.24344569288389514,0.001,23,1,5.251,0
12730,ethics,5,128,32640,11,293,20400,75,0.8798530545305453,0.0829869111373787,0.13333333333333333,0.001,22,1,4.434,0
892,sycophancy-adj,5,128,32640,11,185,20400,68,0.9513024962099734,0.2703319359148329,0.27941176470588236,0.001,22,1,4.267,0
1031,harm,5,128,32640,11,273,20400,97,0.968653761492766,0.4420895148796202,0.44329896907216493,0.001,21,1,3.593,0
9989,refusal,5,128,32640,12,227,20400,190,0.8618878095783744,0.11168726524209673,0.17894736842105263,0.001,27,1,4.631,0
817,deception,5,128,32640,12,222,20400,267,0.8684675745245428,0.14063543523399846,0.2209737827715356,0.001,22,1,3.84,0
12730,ethics,5,128,32640,12,182,20400,75,0.8708670766707666,0.06226221886389888,0.12,0.001,22,1,3.366,0
892,sycophancy-adj,5,128,32640,12,148,20400,68,0.9509987154413211,0.28365792312581195,0.3088235294117647,0.001,21,1,3.569,0
1031,harm,5,128,32640,12,192,20400,97,0.9769659757762678,0.42022332004845714,0.4329896907216495,0.001,21,1,3.177,0
9989,refusal,5,128,32640,13,278,20400,190,0.8719901559936456,0.11800483977212087,0.15789473684210525,0.001,26,1,6.465,0
817,deception,5,128,32640,13,293,20400,267,0.8613076970728921,0.1502120571660919,0.23595505617977527,0.001,30,1,7.151,0
12730,ethics,5,128,32640,13,193,20400,75,0.836819680196802,0.06083751769632841,0.13333333333333333,0.001,23,1,5.606,0
892,sycophancy-adj,5,128,32640,13,153,20400,68,0.937344493177952,0.24501324576203534,0.29411764705882354,0.001,22,1,5.708,0
1031,harm,5,128,32640,13,214,20400,97,0.9611834318324801,0.31815094080104156,0.3711340206185567,0.001,22,1,3.45,0
9989,refusal,5,128,32640,14,307,20400,190,0.8686218391103935,0.09434596330922833,0.1631578947368421,0.001,25,1,4.46,0
817,deception,5,128,32640,14,337,20400,267,0.8587591021579157,0.16285327107268044,0.22846441947565543,0.001,22,1,3.334,0
12730,ethics,5,128,32640,14,245,20400,75,0.8485536695366954,0.05514008344164018,0.12,0.001,21,1,4.256,0
