feature_idx,feature_theme,layer,probe_type,n_train,n_train_pos,n_test,n_test_pos,auc_roc,auc_roc_lo,auc_roc_hi,auc_pr,auc_pr_lo,auc_pr_hi,p_at_k,p_at_k_lo,p_at_k_hi,C,mlp_hidden,mlp_epochs,mlp_final_train_loss,fit_seconds,eval_seconds
892,sycophancy-adj,8,mlp,81600,358,20400,68,0.9635419680364768,0.9370833140456654,0.9813343714920554,0.36704699641551325,0.2519046660934079,0.49924154419119166,0.4117647058823529,0.30808823529411766,0.5147058823529411,,128,5,0.05721963163232431,26.92,4.63
1031,harm,8,linear,81600,559,20400,97,0.977948513017476,0.9688440106611638,0.9856024654322072,0.46627613157563497,0.37160147598550886,0.5676186349966814,0.44329896907216493,0.37087628865979383,0.5360824742268041,0.001,,,,39.6,4.09
1031,harm,8,mlp,81600,559,20400,97,0.9699800598256009,0.9534900002081862,0.9835610729408228,0.4442124393159505,0.3510420863371478,0.5442593430208912,0.4329896907216495,0.3402061855670103,0.5260309278350517,,128,5,0.09387756107607856,17.34,3.14
9989,refusal,12,linear,81600,845,20400,190,0.9341469829943487,0.9182256438969765,0.9518730696111878,0.28150886445509554,0.22095552314609793,0.3582987724127344,0.3473684210526316,0.2893421052631579,0.41592105263157897,0.001,,,,15.0,4.31
9989,refusal,12,mlp,81600,845,20400,190,0.9312685226177766,0.9160065236073855,0.9466660785437121,0.2714398435337243,0.21845311367511935,0.3451025592327855,0.3631578947368421,0.29986842105263156,0.42118421052631577,,128,5,0.11396499272668734,14.65,2.9
817,deception,12,linear,81600,755,20400,267,0.938098722149392,0.9262909795924518,0.9514528432738766,0.331820738594199,0.2843915333678887,0.3892477055989121,0.3707865168539326,0.3145131086142322,0.4121722846441948,0.001,,,,31.57,3.86
817,deception,12,mlp,81600,755,20400,267,0.9276120912039802,0.9137825176062331,0.9420000256719779,0.27217235089147934,0.22543771494693335,0.3311813908185079,0.33707865168539325,0.29213483146067415,0.39325842696629215,,128,5,0.08944567121798172,24.61,4.51
12730,ethics,12,linear,81600,506,20400,75,0.9181185731857318,0.8765866174661746,0.9545867650676506,0.17366632997115977,0.09951280773612972,0.27061190812011676,0.21333333333333335,0.12,0.29366666666666674,0.001,,,,18.47,3.28
12730,ethics,12,mlp,81600,506,20400,75,0.8910760147601475,0.8426205494054941,0.9383965723657237,0.12236200287513874,0.0758598088208655,0.1921651362494046,0.21333333333333335,0.13333333333333333,0.29333333333333333,,128,5,0.07192041388479993,20.88,3.23
892,sycophancy-adj,12,linear,81600,358,20400,68,0.987435048778512,0.9791725735149461,0.9930467656027588,0.45250897880011304,0.3302954982895264,0.5617155283157086,0.39705882352941174,0.3088235294117647,0.5147058823529411,0.001,,,,35.8,6.8
892,sycophancy-adj,12,mlp,81600,358,20400,68,0.9833658330536621,0.9723830552533821,0.9896648900313618,0.4318685414030351,0.32595080179710767,0.5633882895910801,0.45588235294117646,0.3382352941176471,0.5588235294117647,,128,5,0.04235892023425549,25.07,3.48
1031,harm,12,linear,81600,559,20400,97,0.9828439350032574,0.972165621250427,0.9918601994220549,0.5700937056041196,0.4814371904714162,0.6771147847788977,0.5567010309278351,0.4639175257731959,0.6394329896907217,0.001,,,,30.91,6.18
1031,harm,12,mlp,81600,559,20400,97,0.9748358756590234,0.9601774736454061,0.9888602111007919,0.5341140857816021,0.43364456035672627,0.6441072916685289,0.5051546391752577,0.4020618556701031,0.5979381443298969,,128,5,0.0520615944697056,48.95,6.19
9989,refusal,20,linear,81600,845,20400,190,0.9959389567436653,0.9944587293939946,0.9973183546446522,0.8167421163332819,0.7709547691590495,0.8607543634840814,0.7052631578947368,0.6682894736842105,0.7527631578947369,0.001,,,,36.68,7.51
9989,refusal,20,mlp,81600,845,20400,190,0.9892551889372119,0.985265911872705,0.9927178246829343,0.6684031324375237,0.6034529425383702,0.7294676371567436,0.6210526315789474,0.5631578947368421,0.6842105263157895,,128,5,0.055900538247078656,40.56,6.26
817,deception,20,linear,81600,755,20400,267,0.9969390816984655,0.9959965899055924,0.9978634589344156,0.8532253562860791,0.8238673453125399,0.8848758861155123,0.7490636704119851,0.7078651685393258,0.7940074906367042,0.001,,,,62.31,6.33
817,deception,20,mlp,81600,755,20400,267,0.9951204638963627,0.9936437670762835,0.9962315861692034,0.7755389695566618,0.7370687572981676,0.8216883091448726,0.7228464419475655,0.6852996254681648,0.7716292134831461,,128,5,0.04885285620111972,35.15,4.34
12730,ethics,20,linear,81600,506,20400,75,0.9930063140631405,0.9880369003690037,0.9973469618696188,0.7040105198174587,0.6055656369994694,0.8068457313766924,0.64,0.5466666666666666,0.7203333333333334,0.001,,,,20.19,6.25
12730,ethics,20,mlp,81600,506,20400,75,0.9847071750717508,0.9689040426404264,0.9965014514145141,0.6833808456836156,0.5883983393144964,0.7778702781527308,0.6133333333333333,0.5466666666666666,0.72,,128,5,0.0391254365327768,23.28,4.87
892,sycophancy-adj,20,linear,81600,358,20400,68,0.9977267072479198,0.996516556775179,0.9985010046463991,0.6637042368769325,0.5718961493826302,0.7507135333087714,0.5882352941176471,0.5,0.6911764705882353,0.001,,,,25.33,5.21
892,sycophancy-adj,20,mlp,81600,358,20400,68,0.9955857761164666,0.9923386670967816,0.9972279100751061,0.5956114812403847,0.49893402451119295,0.6840887476378772,0.5441176470588235,0.4264705882352941,0.6323529411764706,,128,5,0.06506442087120376,27.05,4.98
1031,harm,20,linear,81600,559,20400,97,0.9971620668521386,0.9956453670195506,0.9984020948607971,0.7869519270645331,0.7275045188467902,0.8561149458357726,0.6804123711340206,0.6082474226804123,0.7628865979381443,0.001,,,,19.02,6.41
1031,harm,20,mlp,81600,559,20400,97,0.9939605695364709,0.9910344873110519,0.996002672907513,0.6173083460276223,0.5329006597928724,0.70971487217117,0.5670103092783505,0.5051546391752577,0.6597938144329897,,128,5,0.04949567803414538,34.58,4.28
