feature_idx,feature_theme,layer,C,ood_n_test,ood_n_test_pos,ood_auc_roc,ood_auc_roc_lo,ood_auc_roc_hi,ood_auc_pr,ood_auc_pr_lo,ood_auc_pr_hi,ood_p_at_k,ood_p_at_k_lo,ood_p_at_k_hi,id_auc_roc,id_auc_pr,id_p_at_k,id_n_test_pos,gap_auc_roc,gap_auc_pr
9989,refusal,12,0.0010000000474974513,25500,597,0.837829270030028,0.8175650905748811,0.8549750485821334,0.17193133232646537,0.14568366149362985,0.2021228293050315,0.23785594639865998,0.20598827470686767,0.271356783919598,0.9341469829943487,0.28150886445509554,0.3473684210526316,190,0.09631771296432068,0.10957753212863017
817,deception,12,0.0010000000474974513,25500,1124,0.8200050301796178,0.8091464470077038,0.830392493433247,0.28134286150471216,0.2562230458736005,0.30550413367549883,0.3211743772241993,0.29802046263345194,0.3425711743772242,0.938098722149392,0.331820738594199,0.3707865168539326,267,0.11809369196977426,0.05047787708948687
12730,ethics,12,0.0010000000474974513,25500,1269,0.8322877268205787,0.8218004539086444,0.8450514232284684,0.29298033411060126,0.27086949399830607,0.3148111852253847,0.32781717888100864,0.30569345941686366,0.3459613869188337,0.9181185731857318,0.17366632997115977,0.21333333333333335,75,0.08583084636515304,-0.11931400413944149
892,sycophancy-adj,12,0.0010000000474974513,25500,772,0.9570012408580485,0.9506393983640453,0.9624121569620476,0.5782394277570705,0.5489795691653667,0.6121943213161153,0.5362694300518135,0.5116256476683938,0.5673575129533679,0.987435048778512,0.45250897880011304,0.39705882352941174,68,0.030433807920463463,-0.12573044895695745
1031,harm,12,0.0010000000474974513,25500,1587,0.9433878812585984,0.9388810733279067,0.9483244198783919,0.6646052180729275,0.645253692203368,0.6870417481190042,0.6068052930056711,0.5872558286074354,0.6282766225582861,0.9828439350032574,0.5700937056041196,0.5567010309278351,97,0.03945605374465899,-0.09451151246880785
9989,refusal,20,0.0010000000474974513,25500,597,0.9868586262100635,0.9839074419467804,0.9891212073700228,0.7730074454475854,0.7457294850460059,0.7981173947961953,0.6884422110552764,0.661641541038526,0.7169179229480737,0.9959389567436653,0.8167421163332819,0.7052631578947368,190,0.0090803305336018,0.04373467088569649
817,deception,20,0.0010000000474974513,25500,1124,0.9841579270550229,0.9819185974448936,0.9861025940572783,0.8159397350657952,0.796766654116525,0.8293657181524993,0.7206405693950177,0.697508896797153,0.7384341637010676,0.9969390816984655,0.8532253562860791,0.7490636704119851,267,0.012781154643442538,0.03728562122028389
12730,ethics,20,0.0010000000474974513,25500,1269,0.9758503807212293,0.9731432569542843,0.9786003609727089,0.7689092463552403,0.751018524049435,0.7864978320434212,0.6887312844759653,0.6698187549251379,0.706855791962175,0.9930063140631405,0.7040105198174587,0.64,75,0.017155933341911234,-0.06489872653778161
892,sycophancy-adj,20,0.0010000000474974513,25500,772,0.9860923112898387,0.9836848591431248,0.9883925673503889,0.7825458866368883,0.7569006843542767,0.8081658906298238,0.6865284974093264,0.660589378238342,0.7151230569948187,0.9977267072479198,0.6637042368769325,0.5882352941176471,68,0.011634395958081134,-0.11884164975995581
1031,harm,20,0.0010000000474974513,25500,1587,0.9861043489117278,0.9843318865322839,0.9878603422230201,0.8734859262813494,0.8624865693711327,0.8850385186504287,0.7712665406427222,0.759294265910523,0.7876811594202898,0.9971620668521386,0.7869519270645331,0.6804123711340206,97,0.011057717940410772,-0.08653399921681626
